model,task,precision,recall,completeness,hallucination_rate,cbs,structural_fidelity,avg_semantic,schema_pass_rate,run_count
meta-llama/llama-3.1-8b-instruct,business,0.0,0.0,0.0,1.0,0.0,,0.0,1.0,4
meta-llama/llama-3.1-8b-instruct,structure,0.0,0.0,0.0,0.5,0.1,0.0,,0.5,4
openai/gpt-4.1-mini,business,0.0,0.0,0.125,0.7869,0.0551,,0.055,1.0,4
openai/gpt-4.1-mini,structure,0.1904,0.2954,0.7955,0.4977,0.3553,0.5,,1.0,4
qwen/qwen-2.5-72b-instruct,business,0.0,0.0,0.25,0.6597,0.093,,0.1427,1.0,4
qwen/qwen-2.5-72b-instruct,structure,0.0,0.0,0.5682,0.6175,0.1333,0.0,,1.0,4
